,municipios_ibge
806,2206902
807,2206951
808,2207009
809,2207108
810,2207207
811,2207306
812,2207355
813,2207405
814,2207504
815,2207553
816,2207603
817,2207702
818,2207751
819,2207777
820,2207793
821,2207801
822,2207850
823,2207900
824,2207934
825,2207959
826,2208007
827,2208106
828,2208205
829,2208304
830,2208403
831,2208502
832,2208551
833,2208601
834,2208650
835,2208700
836,2208809
837,2208858
838,2208874
839,2208908
840,2209005
841,2209104
842,2209153
843,2209203
844,2209302
845,2209351
846,2209377
847,2209401
848,2209450
849,2209500
850,2209559
851,2209609
852,2209658
853,2209708
854,2209757
855,2209807
856,2209856
857,2209872
858,2209906
859,2209955
860,2209971
861,2210003
862,2210052
863,2210102
864,2210201
865,2210300
866,2210359
867,2210375
868,2210383
869,2210391
870,2210409
871,2210508
872,2210607
873,2210623
874,2210631
875,2210656
876,2210706
877,2210805
878,2210904
879,2210938
880,2210953
881,2210979
882,2211001
883,2211100
884,2211209
885,2211308
886,2211357
887,2211407
888,2211506
889,2211605
890,2211704
891,2300101
892,2300150
893,2300200
894,2300309
895,2300408
896,2300507
897,2300606
898,2300705
899,2300754
900,2300804
901,2300903
902,2301000
903,2301109
904,2301208
905,2301257
906,2301307
907,2301406
908,2301505
909,2301604
910,2301703
911,2301802
912,2301851
913,2301901
914,2301950
915,2302008
916,2302057
917,2302107
918,2302206
919,2302305
920,2302404
921,2302503
922,2302602
923,2302701
924,2302800
925,2302909
926,2303006
927,2303105
928,2303204
929,2303303
930,2303402
931,2303501
932,2303600
933,2303659
934,2303709
935,2303808
936,2303907
937,2303931
938,2303956
939,2304004
940,2304103
941,2304202
942,2304236
943,2304251
944,2304269
945,2304277
946,2304285
947,2304301
948,2304350
949,2304400
950,2304459
951,2304509
952,2304608
953,2304657
954,2304707
955,2304806
956,2304905
957,2304954
958,2305001
959,2305100
960,2305209
961,2305233
962,2305266
963,2305308
964,2305332
965,2305357
966,2305407
967,2305506
968,2305605
969,2305654
970,2305704
971,2305803
972,2305902
973,2306009
974,2306108
975,2306207
976,2306256
977,2306306
978,2306405
979,2306504
980,2306553
981,2306603
982,2306702
983,2306801
984,2306900
985,2307007
986,2307106
987,2307205
988,2307254
989,2307304
990,2307403
991,2307502
992,2307601
993,2307635
994,2307650
995,2307700
996,2307809
997,2307908
998,2308005
999,2308104
1000,2308203
1001,2308302
1002,2308351
1003,2308377
1004,2308401
1005,2308500
1006,2308609
1007,2308708
1008,2308807
1009,2308906
1010,2309003
1011,2309102
1012,2309201
1013,2309300
1014,2309409
1015,2309458
1016,2309508
1017,2309607
1018,2309706
1019,2309805
1020,2309904
1021,2310001
1022,2310100
1023,2310209
1024,2310258
1025,2310308
1026,2310407
1027,2310506
1028,2310605
1029,2310704
1030,2310803
1031,2310852
1032,2310902
1033,2310951
1034,2311009
1035,2311108
1036,2311207
1037,2311231
1038,2311264
1039,2311306
1040,2311355
1041,2311405
1042,2311504
1043,2311603
1044,2311702
1045,2311801
1046,2311900
1047,2311959
1048,2312007
1049,2312106
1050,2312205
1051,2312304
1052,2312403
1053,2312502
1054,2312601
1055,2312700
1056,2312809
1057,2312908
1058,2313005
1059,2313104
1060,2313203
1061,2313252
1062,2313302
1063,2313351
1064,2313401
1065,2313500
1066,2313559
1067,2313609
1068,2313708
1069,2313757
1070,2313807
1071,2313906
1072,2313955
1073,2314003
1074,2314102
1075,2400109
1076,2400208
1077,2400307
1078,2400406
1079,2400505
1080,2400604
1081,2400703
1082,2400802
1083,2400901
1084,2401008
1085,2401107
1086,2401206
1087,2401305
1088,2401404
1089,2401453
1090,2401503
1091,2401602
1092,2401651
1093,2401701
1094,2401800
1095,2401859
1096,2401909
1097,2402006
1098,2402105
1099,2402204
1100,2402303
1101,2402402
1102,2402501
1103,2402600
1104,2402709
1105,2402808
1106,2402907
1107,2403004
1108,2403103
1109,2403202
1110,2403251
1111,2403301
1112,2403400
1113,2403509
1114,2403608
1115,2403707
1116,2403756
1117,2403806
1118,2403905
1119,2404002
1120,2404101
1121,2404200
1122,2404309
1123,2404408
1124,2404507
1125,2404606
1126,2404705
1127,2404804
1128,2404853
1129,2404903
1130,2405009
1131,2405108
1132,2405207
1133,2405306
1134,2405405
1135,2405504
1136,2405603
1137,2405702
1138,2405801
1139,2405900
1140,2406007
1141,2406106
1142,2406155
1143,2406205
1144,2406304
1145,2406403
1146,2406502
1147,2406601
1148,2406700
1149,2406809
1150,2406908
1151,2407005
1152,2407104
1153,2407203
1154,2407252
1155,2407302
1156,2407401
1157,2407500
1158,2407609
1159,2407708
1160,2407807
1161,2407906
1162,2408003
1163,2408102
1164,2408201
1165,2408300
1166,2408409
1167,2408508
1168,2408607
1169,2408706
1170,2408805
1171,2408904
1172,2408953
1173,2409100
1174,2409209
1175,2409308
1176,2409332
1177,2409407
1178,2409506
1179,2409605
1180,2409704
1181,2409803
1182,2409902
1183,2410009
1184,2410108
1185,2410207
1186,2410256
1187,2410306
1188,2410405
1189,2410504
1190,2410603
1191,2410702
1192,2410801
1193,2410900
1194,2411007
1195,2411056
1196,2411106
1197,2411205
1198,2411403
1199,2411429
1200,2411502
1201,2411601
1202,2411700
1203,2411809
1204,2411908
1205,2412005
1206,2412104
1207,2412203
1208,2412302
1209,2412401
1210,2412500
1211,2412559
1212,2412609
1213,2412708
1214,2412807
1215,2412906
1216,2413003
1217,2413102
1218,2413201
1219,2413300
1220,2413359
1221,2413409
1222,2413508
1223,2413557
1224,2413607
1225,2413706
1226,2413805
1227,2413904
1228,2414001
1229,2414100
1230,2414159
1231,2414209
1232,2414308
1233,2414407
1234,2414456
1235,2414506
1236,2414605
1237,2414704
1238,2414753
1239,2414803
1240,2414902
1241,2415008
1242,2500106
1243,2500205
1244,2500304
1245,2500403
1246,2500502
1247,2500536
1248,2500577
1249,2500601
1250,2500700
1251,2500734
1252,2500775
1253,2500809
1254,2500908
1255,2501005
1256,2501104
1257,2501153
1258,2501203
1259,2501302
1260,2501351
1261,2501401
1262,2501500
1263,2501534
1264,2501575
1265,2501609
1266,2501708
1267,2501807
1268,2501906
1269,2502003
1270,2502052
1271,2502102
1272,2502151
1273,2502201
1274,2502300
1275,2502409
1276,2502508
1277,2502607
1278,2502706
1279,2502805
1280,2502904
1281,2503001
1282,2503100
1283,2503209
1284,2503308
1285,2503407
1286,2503506
1287,2503555
1288,2503605
1289,2503704
1290,2503753
1291,2503803
1292,2503902
1293,2504009
1294,2504033
1295,2504074
1296,2504108
1297,2504157
1298,2504207
1299,2504306
1300,2504355
1301,2504405
1302,2504504
1303,2504603
1304,2504702
1305,2504801
1306,2504850
1307,2504900
1308,2505006
1309,2505105
1310,2505204
1311,2505238
1312,2505279
1313,2505303
1314,2505352
1315,2505402
1316,2505501
1317,2505600
1318,2505709
1319,2505808
1320,2505907
1321,2506004
1322,2506103
1323,2506202
1324,2506251
1325,2506301
1326,2506400
1327,2506509
1328,2506608
1329,2506707
1330,2506806
1331,2506905
1332,2507002
1333,2507101
1334,2507200
1335,2507309
1336,2507408
1337,2507507
1338,2507606
1339,2507705
1340,2507804
1341,2507903
1342,2508000
1343,2508109
1344,2508208
1345,2508307
1346,2508406
1347,2508505
1348,2508554
1349,2508604
1350,2508703
1351,2508802
1352,2508901
1353,2509008
1354,2509057
1355,2509107
1356,2509156
1357,2509206
1358,2509305
1359,2509339
1360,2509370
1361,2509396
1362,2509404
1363,2509503
1364,2509602
1365,2509701
1366,2509800
1367,2509909
1368,2510006
1369,2510105
1370,2510204
1371,2510303
1372,2510402
1373,2510501
1374,2510600
1375,2510659
1376,2510709
1377,2510808
1378,2510907
1379,2511004
1380,2511103
1381,2511202
1382,2511301
1383,2511400
1384,2511509
1385,2511608
1386,2511707
1387,2511806
1388,2511905
1389,2512002
1390,2512036
1391,2512077
1392,2512101
1393,2512200
1394,2512309
1395,2512408
1396,2512507
1397,2512606
1398,2512705
1399,2512721
1400,2512747
1401,2512754
1402,2512762
1403,2512788
1404,2512804
1405,2512903
1406,2513000
1407,2513109
1408,2513158
1409,2513208
1410,2513307
1411,2513356
1412,2513406
1413,2513505
1414,2513604
1415,2513653
1416,2513703
1417,2513802
1418,2513851
1419,2513901
1420,2513927
1421,2513943
1422,2513968
1423,2513984
1424,2514008
1425,2514107
1426,2514206
1427,2514305
1428,2514404
1429,2514453
1430,2514503
1431,2514552
1432,2514602
1433,2514651
1434,2514701
1435,2514800
1436,2514909
1437,2515005
1438,2515104
1439,2515203
1440,2515302
1441,2515401
1442,2515500
1443,2515609
1444,2515708
1445,2515807
1446,2515906
1447,2515930
1448,2515971
1449,2516003
1450,2516102
1451,2516151
1452,2516201
1453,2516300
1454,2516409
1455,2516508
1456,2516607
1457,2516706
1458,2516755
1459,2516805
1460,2516904
1461,2517001
1462,2517100
1463,2517209
1464,2517407
1465,2600054
1466,2600104
1467,2600203
1468,2600302
1469,2600401
1470,2600500
1471,2600609
1472,2600708
1473,2600807
1474,2600906
1475,2601003
1476,2601052
1477,2601102
1478,2601201
1479,2601300
1480,2601409
1481,2601508
1482,2601607
1483,2601706
1484,2601805
1485,2601904
1486,2602001
1487,2602100
1488,2602209
1489,2602308
1490,2602407
1491,2602506
1492,2602605
1493,2602704
1494,2602803
1495,2602902
1496,2603009
1497,2603108
1498,2603207
1499,2603306
1500,2603405
1501,2603454
1502,2603504
1503,2603603
1504,2603702
1505,2603801
1506,2603900
1507,2603926
1508,2604007
1509,2604106
1510,2604155
1511,2604205
1512,2604304
1513,2604403
